type,time_interval,num_observations,rms,peak_L
Ia,0-100 days,779,1.675327575660959e+25,6.758632089259366e+25
Ia,100-300 days,1563,9.296221472853166e+24,2.2437572326700566e+25
Ia,300-500 days,1324,5.042705260695031e+24,1.7739507470022246e+25
Ia,500-800 days,1974,8.919013616627152e+24,3.680416287165509e+25
Ia,800-1500 days,2948,3.8554481203189353e+24,1.9016398836796013e+25
Ia,1500-3000 days,1112,4.455375171916743e+25,2.0121772311478386e+26
II,0-100 days,161,1.9869447414810437e+25,1.0177357286747997e+26
II,100-300 days,320,8.81805826783039e+24,3.466655724549185e+25
II,300-500 days,307,1.6198954909809403e+25,5.603867137327418e+25
II,500-800 days,399,1.0670500188133267e+25,4.810618866734634e+25
II,800-1500 days,657,9.074143452497036e+24,3.4805564385678506e+25
II,1500-3000 days,271,1.0293042039213685e+25,3.757931155528133e+25
IIn,0-100 days,20,1.3791028928245244e+26,4.7970057830463744e+26
IIn,100-300 days,64,5.084725007415322e+26,2.1330059632524392e+27
IIn,300-500 days,48,1.456710784731635e+26,5.259375628833171e+26
IIn,500-800 days,87,2.546554548451824e+26,1.3341775178118012e+27
IIn,800-1500 days,104,1.1133137407370615e+26,5.084711115390243e+26
IIn,1500-3000 days,47,3.699095394848619e+26,2.1594400757206487e+27
Stripped_Envelope,0-100 days,57,2.4451381861940303e+25,5.9755689642277505e+25
Stripped_Envelope,100-300 days,134,4.963500943844125e+25,1.688092014931952e+26
Stripped_Envelope,300-500 days,107,7.7308019805224494e+25,2.254571067478681e+26
Stripped_Envelope,500-800 days,169,3.3375069376528728e+25,1.6355569211671533e+26
Stripped_Envelope,800-1500 days,264,5.03781765618677e+25,1.884928995313084e+26
Stripped_Envelope,1500-3000 days,120,5.200606040748679e+25,1.961597221383503e+26
TDE,0-100 days,6,2.2933459072519068e+27,5.437955386332045e+27
TDE,100-300 days,18,1.0528174902145861e+27,2.1682396311196066e+27
TDE,300-500 days,17,1.3315946077837678e+27,8.864443137979562e+27
TDE,500-800 days,9,3.297690586473123e+27,1.0633180572635077e+28
TDE,800-1500 days,31,2.99283559108923e+26,1.6531598633496107e+27
TDE,1500-3000 days,7,3.7795718735784795e+26,8.81660658882966e+26
Ibn/Icn,0-250 days,10,9.656584552290534e+26,2.531218435362741e+27
Ibn/Icn,250-500 days,6,4.3411288975691117e+27,1.055867914828524e+28
Ibn/Icn,500-1000 days,17,1.2109512158311543e+27,3.4319606076751075e+27
Ibn/Icn,1000-3000 days,16,5.902100545143236e+26,1.832331416871028e+27
SLSN-I,0-100 days,10,1.0380235867291601e+28,3.778828888145309e+28
SLSN-I,100-300 days,20,5.829173967583423e+27,1.708785712685764e+28
SLSN-I,300-500 days,15,1.2578138414555688e+28,3.2426913289527455e+28
SLSN-I,500-800 days,22,5.735438005916646e+27,1.3713802371987362e+28
SLSN-I,800-1500 days,36,4.8367447658527863e+27,1.5564512165031859e+28
SLSN-I,1500-3000 days,13,9.347654066946883e+27,2.7291445783865895e+28
SLSN-II,0-100 days,4,1.6714898478493942e+28,5.3528726490199115e+28
SLSN-II,100-300 days,6,2.596190598769344e+28,7.44590303172069e+28
SLSN-II,300-500 days,14,1.0477161481849987e+27,2.4086276678874915e+27
SLSN-II,500-800 days,16,2.2171526577657346e+28,5.540668670082653e+28
SLSN-II,800-1500 days,27,5.751599706705638e+27,1.713692887401912e+28
SLSN-II,1500-3000 days,9,1.218731663384926e+28,2.9755648705102895e+28
