Name,Obsmjd,Flux,Type,Distance (Mpc),ExpMJD,L_nu (erg/s/Hz),dt,L_nu,status,classification
SN1996N,50196,0.197,Ib,19.8,50151,9.24E+28,45,9.24E+25,real,old_poor
SN1999dn,51509,0.12,Ib,29.1,51405,1.22E+29,104,1.22E+26,real,old_poor
SN2005V,53476,0.23,Ib/c,19.6,53371,1.06E+29,105,1.06E+26,real,old_poor
SN1997ef,51881,-0.092,IbBL,55.9,50772,3.44E+29,1109,3.44E+26,real,old_poor
SN1994ai,49726,-0.0934,Ic,15.6,49706,2.72E+28,20,2.72E+25,real,old_poor
SN1996aq,50361,-0.205,Ic,21.8,50312,1.17E+29,49,1.17E+26,real,old_poor
SN1997ei,50973,-0.173,Ic,48.8,50772,4.93E+29,201,4.93E+26,real,old_poor
SN1999cn,51346,-0.324,Ic,111,51343,4.78E+30,3,4.78E+27,real,old_poor
SN2000ew,52929,-0.107,Ic,15.7,51869,3.16E+28,1060,3.16E+25,real,old_poor
SN2004bm,53146,-0.456,Ic,24.4,53112,3.25E+29,34,3.25E+26,real,old_poor
SN2005kl,54873,-0.129,Ic,29.7,53675,1.36E+29,1198,1.36E+26,real,old_poor
SN1980O,47192,-0.36,II,17.9,44603,1.38E+29,2589,1.38E+26,real,old_rich
SN1993X,49975,-0.135,II,40.5,49221,2.65E+29,754,2.65E+26,real,old_rich
SN1995ad,49996,-0.603,II,27,49982,5.26E+29,14,5.26E+26,real,old_rich
SN1996bw,51834,-0.206,II,79,50417,1.54E+30,1417,1.54E+27,real,old_rich
SN1997dn,51479,-0.129,II,27.1,50750,1.13E+29,729,1.13E+26,real,old_rich
SN1999B,51480,-0.162,II,31.2,51192,1.89E+29,288,1.89E+26,real,old_rich
SN1999go,54873,-0.148,II,60.4,51530,6.46E+29,3343,6.46E+26,real,old_rich
SN2008jb,56061,0.089,II,9.3,54781,9.21E+27,1280,9.21E+24,real,old_rich
SN2009hd,55023,-0.18,II,9.6,55001,1.99E+28,22,1.98E+25,real,old_rich
SN1993G,49401,-0.112,IIL,53.1,49042,3.78E+29,359,3.78E+26,real,old_rich
SN2007ak,54189,-0.402,IIn,69.6,54169,2.33E+30,20,2.33E+27,real,old_rich
SN2008X,55101,0.089,IIP,35.4,54479,1.33E+29,622,1.33E+26,real,old_rich
SN2009E,55101,-0.147,IIP,35.4,54466,2.20E+29,635,2.20E+26,real,old_rich
SN1988Z,51934,-0.21,IIn,111,47496,3.10E+30,4438,3.10E+27,real,old_rich
SN1991ae,49401,-0.117,IIn,138,48391,2.67E+30,1010,2.67E+27,real,old_rich
SN1994Y,49975,-0.267,IIn,46.4,49542,6.88E+29,433,6.88E+26,real,old_rich
SN1994ak,49975,-0.217,IIn,43.1,49710,4.82E+29,265,4.82E+26,real,old_rich
SN1996L,50854,-0.176,IIn,157,50154,5.19E+30,700,5.19E+27,real,old_rich
SN1999E,51236,-0.071,IIn,119,51066,1.20E+30,170,1.20E+27,real,old_rich
SN1999eb,51479,-0.085,IIn,79,51453,6.35E+29,26,6.35E+26,real,old_rich
SN2003dv,54873,-0.1,IIn,33.9,53111,1.38E+29,1762,1.38E+26,real,old_rich
SN2003lo,54873,-0.183,IIn,60.4,53004,7.99E+29,1869,7.99E+26,real,old_rich
SN2005gl,53819,-0.09,IIn,68.8,53669,5.10E+29,150,5.10E+26,real,old_rich
SN2006gy,58287,-0.04,IIn,85,53602,3.46E+29,4685,3.46E+26,real,old_rich
