Name,Obsmjd,Flux,Type,Distance (Mpc),ExpMJD,dt,Luminosity
SN1982F,45943,1.16,IIP,6.2,45024.0,919.0,5.3352198801956895e+25
SN1982F,46057,0.18,IIP,6.2,45024.0,1033.0,8.278789469269173e+24
SN1985F,46142,0.189,Ib/c,7.2,45789.0,353.0,1.172297264285275e+25
SN1985F,46277,0.33,Ib/c,7.2,45789.0,488.0,2.046868239228258e+25
SN1985G,46192,0.212,IIP,20.9,46141.0,51.0,1.1079990489524092e+26
SN1985G,46309,0.675,IIP,20.9,46141.0,168.0,3.527827160579605e+26
SN1985G,46779,0.623,IIP,20.9,46141.0,638.0,3.2560538089497686e+26
SN1985H,46192,0.155,II,16.0,46167.0,25.0,4.747692885602394e+25
SN1985H,47192,0.3,II,16.0,46167.0,1025.0,9.189083004391729e+25
SN1987F,47882,0.43,IIn:,79.6,46876.0,1006.0,3.259909514676546e+27
SN1987F,47935,0.18,IIn:,79.6,46876.0,1059.0,1.3646132852134378e+27
SN1987F,48239,0.18,IIn:,79.6,46876.0,1363.0,1.3646132852134378e+27
SN1987F,49008,0.09,IIn:,79.6,46876.0,2132.0,6.823066426067189e+26
SN1987K,47052,2.6,IIb,16.5,47007.0,45.0,8.46939115189933e+26
SN1987K,47882,0.634,IIb,16.5,47007.0,875.0,2.0652284578092982e+26
SN1987K,49401,0.225,IIb,16.5,47007.0,2394.0,7.329280804528266e+25
SN1989L,47884,0.254,II,22.0,47650.0,234.0,1.4709233180050798e+26
SN1989L,47938,0.162,II,22.0,47650.0,288.0,9.38147942979618e+25
SN1989L,48016,0.204,II,22.0,47650.0,366.0,1.1813714837521114e+26
SN1990K,48041,0.149,II,23.4,48025.0,16.0,9.761778244698247e+25
SN1990K,49023,0.114,II,23.4,48025.0,998.0,7.468743086547652e+25
SN1991G,48912,0.487,IIP,13.9,48279.0,633.0,1.1258214429487529e+26
SN1991G,50705,0.069,IIP,13.9,48279.0,2426.0,1.595106356539301e+25
SN1992H,49059,0.084,II,35.1,48663.0,396.0,1.2382389854013215e+26
SN1992H,49975,0.269,II,35.1,48663.0,1312.0,3.965312941344709e+26
SN1992ad,49286,0.4,II,22.4,48803.0,483.0,2.4014136918143712e+26
SN1992ad,50223,0.15,II,22.4,48803.0,1420.0,9.005301344303893e+25
SN1992bd,48926,0.081,II,16.9,48907.0,19.0,2.7680210123389322e+25
SN1992bd,49011,0.132,II,16.9,48907.0,104.0,4.510849057144926e+25
SN1992bd,49023,0.141,II,16.9,48907.0,116.0,4.818406947404806e+25
SN1992bd,49477,0.249,II,16.9,48907.0,570.0,8.509101630523383e+25
SN1992bd,49726,0.3,II,16.9,48907.0,819.0,1.0251929675329377e+26
SN1993N,49401,0.11,IIn,50.2,49092.0,309.0,3.3167372926856854e+26
SN1993N,50471,0.186,IIn,50.2,49092.0,1379.0,5.608301240359432e+26
SN1994I,49495,9.81,Ic,7.9,49442.0,53.0,7.325447233962371e+26
SN1994I,49504,7.15,Ic,7.9,49442.0,62.0,5.339138401919567e+26
SN1994P,49495,0.108,II,19.6,49372.0,123.0,4.964172366047523e+25
SN1994P,49562,0.061,II,19.6,49372.0,190.0,2.8038380956379527e+25
SN1994P,49975,0.235,II,19.6,49372.0,603.0,1.0801671352047849e+26
SN1994W,49586,0.146,IIn-P,25.4,49563.0,23.0,1.1270190149772807e+26
SN1994W,49975,0.167,IIn-P,25.4,49563.0,412.0,1.289124489734287e+26
SN1994W,51479,0.171,IIn-P,25.4,49563.0,1916.0,1.3200017230213357e+26
SN1994W,51479,0.171,IIn-P,25.4,49563.0,1916.0,1.3200017230213357e+26
SN1995X,49975,0.336,II,25.5,49932.0,43.0,2.614150535327503e+26
SN1995X,50973,0.143,II,25.5,49932.0,1041.0,1.1125700194995026e+26
SN1995X,50981,0.102,II,25.5,49932.0,1049.0,7.935814125101348e+25
SN1995X,51834,0.177,II,25.5,49932.0,1902.0,1.3770971570028809e+26
SN1996W,50379,0.19,II,12.2,50183.0,196.0,3.3836405173306807e+25
SN1996W,50471,0.264,II,12.2,50183.0,288.0,4.7014794556594725e+25
SN1996W,50822,0.208,II,12.2,50183.0,639.0,3.704195934762008e+25
SN1996ae,50245,0.292,IIn,19.9,50109.0,136.0,1.3835662475080688e+26
SN1996ae,50312,0.279,IIn,19.9,50109.0,203.0,1.321969120050518e+26
SN1996ae,50379,0.165,IIn,19.9,50109.0,270.0,7.818096946535321e+25
SN1996ae,51346,0.193,IIn,19.9,50109.0,1237.0,9.144804307159496e+25
SN1996an,50312,0.279,II,19.1,50233.0,79.0,1.2178166073726161e+26
SN1996an,50361,1.029,II,19.1,50233.0,128.0,4.491517164825884e+26
SN1996an,50361,0.45,II,19.1,50233.0,128.0,1.964220334471961e+26
SN1996bu,50421,0.162,IIn,10.3,50401.0,20.0,2.0563660179898284e+25
SN1996bu,51480,0.129,IIn,10.3,50401.0,1079.0,1.6374766439548632e+25
SN1996cb,50450,0.99,IIb,13.9,50429.0,21.0,2.288630859382475e+26
SN1996cb,50465,0.26,IIb,13.9,50429.0,36.0,6.01054569130751e+25
SN1997W,51479,0.106,II,79.0,50480.0,999.0,7.915366022426211e+26
SN1997W,51834,0.206,II,79.0,50480.0,1354.0,1.5382692458677354e+27
SN1997X,50485,1.256,Ib/c,21.3,50473.0,12.0,6.818044017887604e+26
SN1997X,52929,0.123,Ib/c,21.3,50473.0,2456.0,6.676906164014135e+25
SN1997ab,50714,0.125,IIn,53.9,50184.0,530.0,4.345087212758609e+26
SN1997ab,50854,0.251,IIn,53.9,50184.0,670.0,8.724935123219287e+26
SN1997ab,50973,0.193,IIn,53.9,50184.0,789.0,6.708814656499292e+26
SN1997db,50854,0.06,II,18.9,50662.0,192.0,2.5644002656240375e+25
SN1997db,51346,0.111,II,18.9,50662.0,684.0,4.7441404914044695e+25
SN1997db,51834,0.145,II,18.9,50662.0,1172.0,6.197300641924758e+25
SN1997dq,50854,0.096,IcBL,15.7,50734.0,120.0,2.831271337190646e+25
SN1997dq,50973,0.188,IcBL,15.7,50734.0,239.0,5.544573035331682e+25
SN1998S,50964,0.097,IIn,14.9,50872.0,92.0,2.576648786811012e+25
SN1998S,50973,0.129,IIn,14.9,50872.0,101.0,3.426677252563098e+25
SN1998S,51105,0.175,IIn,14.9,50872.0,233.0,4.6485931720817225e+25
SN1998S,51479,1.08,IIn,14.9,50872.0,607.0,2.8688460719132918e+26
SN1998S,51934,0.775,IIn,14.9,50872.0,1062.0,2.0586626904933346e+26
SN1998S,53033,0.679,IIn,14.9,50872.0,2161.0,1.8036541507677082e+26
SN1998S,54248,0.19,IIn,14.9,50872.0,3376.0,5.047044015403013e+25
SN1998bm,50929,0.18,II,24.7,50924.0,5.0,1.3139455430037537e+26
SN1998bm,51480,0.139,II,24.7,50924.0,556.0,1.0146579470973433e+26
SN1998dl,51062,0.112,IIP,19.1,51027.0,35.0,4.888726165796881e+25
SN1998dl,51346,0.141,IIP,19.1,51027.0,319.0,6.1545570480121445e+25
SN1998dn,51346,0.117,II,13.7,51044.0,302.0,2.627471116198322e+25
SN1998dn,51834,0.188,II,13.7,51044.0,790.0,4.2219194003870475e+25
SN1999D,51236,0.3,II,52.6,51194.0,42.0,9.931245036418303e+26
SN1999D,51480,0.213,II,52.6,51194.0,286.0,7.051183975856994e+26
SN1999el,51479,0.101,IIn,23.1,51471.0,8.0,6.448464124730737e+25
SN1999el,51834,0.145,IIn,23.1,51471.0,363.0,9.257696020653036e+25
SN1999em,51487,0.264,IIP,11.5,51475.0,12.0,4.177443281449646e+25
SN1999em,51513,0.162,IIP,11.5,51475.0,38.0,2.5634311045259195e+25
SN1999em,51525,0.194,IIP,11.5,51475.0,50.0,3.069787865913755e+25
SN1999em,51539,0.128,IIP,11.5,51475.0,64.0,2.025427045551344e+25
SN1999em,51588,0.105,IIP,11.5,51475.0,113.0,1.6614831233038368e+25
SN1999gi,51525,0.087,IIP,12.4,51518.0,7.0,1.6005659640587067e+25
SN1999gi,51731,0.2,IIP,12.4,51518.0,213.0,3.6794619863418547e+25
SN1999gi,53020,0.096,IIP,12.4,51518.0,1502.0,1.7661417534440905e+25
SN1999gq,51555,0.147,IIP,16.7,51535.0,20.0,4.905250960767408e+25
SN1999gq,51555,0.154,IIP,16.7,51535.0,20.0,5.1388343398515706e+25
SN2000P,51689,0.378,IIn,30.2,51611.0,78.0,4.124930543667986e+26
SN2000P,51834,0.09,IIn,30.2,51611.0,223.0,9.821263199209488e+25
SN2001ci,52066,1.166,Ic,16.4,52020.0,46.0,3.752296955505414e+26
SN2001ci,52435,0.133,Ic,16.4,52020.0,415.0,4.2800642802934825e+25
SN2002hh,52583,0.483,II,5.6,52578.0,5.0,1.8123168955411583e+25
SN2002hh,52585,0.522,II,5.6,52578.0,7.0,1.9586530423860963e+25
SN2002hh,52585,0.192,II,5.6,52578.0,7.0,7.204241075443114e+24
SN2002hh,52593,0.81,II,5.6,52578.0,15.0,3.039289203702564e+25
SN2002hh,52605,1.333,II,5.6,52578.0,27.0,5.00169445498212e+25
SN2002hh,52613,1.3,II,5.6,52578.0,35.0,4.877871561497941e+25
SN2003H,52653,0.36,IbPec,22.3,52647.0,6.0,2.1420183221502946e+26
SN2003H,52927,0.207,IbPec,22.3,52647.0,280.0,1.2316605352364195e+26
SN2003ed,52863,3.697,II,25.2,52759.0,104.0,2.8090630465220955e+27
SN2003ed,52997,2.423,II,25.2,52759.0,238.0,1.8410494351428287e+27
SN2003ed,53030,2.321,II,25.2,52759.0,271.0,1.7635475604484133e+27
SN2003gd,52807,0.24,IIP,8.6,52715.0,92.0,2.123826809390038e+25
SN2003gd,52824,0.2,IIP,8.6,52715.0,109.0,1.7698556744916984e+25
SN2003gd,52872,0.123,IIP,8.6,52715.0,157.0,1.0884612398123945e+25
SN2003gd,52917,0.222,IIP,8.6,52715.0,202.0,1.964539798685785e+25
SN2003gd,53057,0.2,IIP,8.6,52715.0,342.0,1.7698556744916984e+25
SN2003ie,53030,0.181,IIP,13.7,52901.0,129.0,4.064720273776891e+25
SN2003ie,53039,0.178,IIP,13.7,52901.0,138.0,3.997349219515396e+25
SN2003ie,53258,0.166,IIP,13.7,52901.0,357.0,3.7278650024694146e+25
SN2003ie,54873,0.171,IIP,13.7,52901.0,1972.0,3.8401500929052396e+25
SN2004A,53025,0.163,IIP,17.0,53010.0,15.0,5.6363298579151185e+25
SN2004A,53033,0.442,IIP,17.0,53010.0,23.0,1.5283790166861855e+26
SN2004A,53039,0.188,IIP,17.0,53010.0,29.0,6.500797627534002e+25
SN2004A,53085,0.152,IIP,17.0,53010.0,75.0,5.255964039282809e+25
SN2004A,53117,0.211,IIP,17.0,53010.0,107.0,7.296107975583374e+25
SN2004A,53138,0.194,IIP,17.0,53010.0,128.0,6.708269892242533e+25
SN2004C,53043,2.154,Ic,32.6,52996.0,47.0,2.738998873043203e+27
SN2004C,54919,0.71,Ic,32.6,52996.0,1923.0,9.028269265834141e+26
SN2004am,52957,0.34,IIP,3.8,52950.0,7.0,5.87431274978667e+24
SN2004am,52957,1.0,IIP,3.8,52950.0,7.0,1.7277390440549029e+25
SN2004am,53258,2.529,IIP,3.8,52950.0,308.0,4.369452042414849e+25
SN2004am,53258,3.039,IIP,3.8,52950.0,308.0,5.250598954882849e+25
SN2004am,53283,0.996,IIP,3.8,52950.0,333.0,1.7208280878786832e+25
SN2004et,53278,0.291,IIP,5.6,53270.0,8.0,1.0918927879968468e+25
SN2004et,53283,0.341,IIP,5.6,53270.0,13.0,1.279503232669845e+25
SN2004et,53283,0.33,IIP,5.6,53270.0,13.0,1.238228934841785e+25
SN2004et,53285,0.641,IIP,5.6,53270.0,15.0,2.405165900707831e+25
SN2004et,53290,1.091,IIP,5.6,53270.0,20.0,4.0936599027648106e+25
SN2004et,53301,1.316,IIP,5.6,53270.0,31.0,4.937906903793301e+25
SN2004et,53308,1.866,IIP,5.6,53270.0,38.0,7.0016217951962764e+25
SN2004et,53315,1.993,IIP,5.6,53270.0,45.0,7.478152324665691e+25
SN2004et,53330,1.798,IIP,5.6,53270.0,60.0,6.746471590440999e+25
SN2004et,53339,1.919,IIP,5.6,53270.0,69.0,7.200488866549654e+25
SN2004et,53349,1.771,IIP,5.6,53270.0,79.0,6.64516195031758e+25
SN2004et,53408,1.081,IIP,5.6,53270.0,138.0,4.056137813830211e+25
SN2004et,53421,1.23,IIP,5.6,53270.0,151.0,4.615216938955745e+25
SN2005U,53409,0.3,IIb,53.1,53398.0,11.0,1.0120949347661315e+27
SN2005U,53534,1.0,IIb,53.1,53398.0,136.0,3.3736497825537714e+27
SN2005ay,53475,0.082,IIP,12.7,53450.0,25.0,1.5824582059612503e+25
SN2005ay,53534,0.188,IIP,12.7,53450.0,84.0,3.628074911228233e+25
SN2005ay,53556,0.12,IIP,12.7,53450.0,106.0,2.315792496528659e+25
SN2005ay,53800,0.12,IIP,12.7,53450.0,350.0,2.315792496528659e+25
SN2005dl,53828,0.521,II,20.4,53607.0,221.0,2.594233197915484e+26
SN2005dl,57648,0.033,II,20.4,53607.0,4041.0,1.6431803364915733e+25
SN2005kd,53695,0.454,IIn,69.4,53684.0,11.0,2.616289198677161e+27
SN2005kd,53695,1.011,IIn,69.4,53684.0,11.0,5.826141805864778e+27
SN2005kd,53725,0.362,IIn,69.4,53684.0,41.0,2.086116057095005e+27
SN2005kd,53725,0.99,IIn,69.4,53684.0,41.0,5.705124023547113e+27
SN2005kd,54371,0.16,IIn,69.4,53684.0,687.0,9.220402462298365e+26
SN2006bp,53843,0.11,IIP,16.6,53834.0,9.0,3.6267683384885474e+25
SN2006bp,53843,0.217,IIP,16.6,53834.0,9.0,7.154624813200134e+25
SN2006bp,53843,0.498,IIP,16.6,53834.0,9.0,1.6419369386975422e+26
SN2006bp,54003,0.12,IIP,16.6,53834.0,169.0,3.956474551078415e+25
SN2006my,54051,0.441,IIP,16.5,53948.0,103.0,1.4365390376875401e+26
SN2006my,54052,1.5,IIP,16.5,53948.0,104.0,4.886187203018844e+26
SN2006my,54052,2.1,IIP,16.5,53948.0,104.0,6.840662084226382e+26
SN2006my,54874,0.423,IIP,16.5,53948.0,926.0,1.377904791251314e+26
SN2006ov,54068,0.396,IIP,14.6,54034.0,34.0,1.0099778561895726e+26
SN2006ov,54068,0.138,IIP,14.6,54034.0,34.0,3.5196198018727527e+25
SN2006ov,54074,0.287,IIP,14.6,54034.0,40.0,7.319789008242608e+25
SN2006ov,54831,0.32,IIP,14.6,54034.0,797.0,8.16143722173392e+25
SN2007C,54111,0.825,Ib,22.7,54097.0,14.0,5.086471522916323e+26
SN2007C,54139,0.25,Ib,22.7,54097.0,42.0,1.5413550069443403e+26
SN2008ax,54532,1.19,IIb,6.2,54528.0,4.0,5.473199704683509e+25
SN2008ax,54532,5.802,IIb,6.2,54528.0,4.0,2.66852980559443e+26
SN2008ax,54535,3.94,IIb,6.2,54528.0,7.0,1.8121350282733636e+26
SN2008ax,54535,6.742,IIb,6.2,54528.0,7.0,3.100866588989598e+26
SN2008ax,54536,4.278,IIb,6.2,54528.0,8.0,1.9675922971963066e+26
SN2008ax,54536,2.082,IIb,6.2,54528.0,8.0,9.575799819454676e+25
SN2008ax,54537,4.63,IIb,6.2,54528.0,9.0,2.1294886245953486e+26
SN2008ax,54537,3.016,IIb,6.2,54528.0,9.0,1.3871571688508792e+26
SN2008ax,54538,4.934,IIb,6.2,54528.0,10.0,2.269308180076339e+26
SN2008ax,54538,2.934,IIb,6.2,54528.0,10.0,1.3494426834908754e+26
SN2008ax,54542,4.807,IIb,6.2,54528.0,14.0,2.210896721043162e+26
SN2008ax,54542,2.37,IIb,6.2,54528.0,14.0,1.0900406134537746e+26
SN2008ax,54542,3.993,IIb,6.2,54528.0,14.0,1.836511463932878e+26
SN2008ax,54543,4.04,IIb,6.2,54528.0,15.0,1.8581283031026366e+26
SN2008ax,54543,1.159,IIb,6.2,54528.0,15.0,5.330620552712763e+25
SN2008ax,54543,3.646,IIb,6.2,54528.0,15.0,1.6769148002753003e+26
SN2008ax,54544,1.643,IIb,6.2,54528.0,16.0,7.556695054449585e+25
SN2008ax,54544,4.13,IIb,6.2,54528.0,16.0,1.8995222504489824e+26
SN2008ax,54546,2.631,IIb,6.2,54528.0,18.0,1.2100830607581774e+26
SN2008ax,54546,3.449,IIb,6.2,54528.0,18.0,1.5863080488616323e+26
SN2008ax,54551,1.052,IIb,6.2,54528.0,23.0,4.83849251203954e+25
SN2008ax,54551,2.748,IIb,6.2,54528.0,23.0,1.2638951923084274e+26
SN2008ax,54551,3.448,IIb,6.2,54528.0,23.0,1.5858481161133396e+26
SN2008ax,54557,0.479,IIb,6.2,54528.0,29.0,2.2030778643221854e+25
SN2008ax,54557,1.396,IIb,6.2,54528.0,29.0,6.420661166166536e+25
SN2008ax,54557,2.492,IIb,6.2,54528.0,29.0,1.1461524087454878e+26
SN2008ax,54559,0.445,IIb,6.2,54528.0,31.0,2.046700729902657e+25
SN2008ax,54559,1.13,IIb,6.2,54528.0,31.0,5.19724005570787e+25
SN2008ax,54559,1.96,IIb,6.2,54528.0,31.0,9.014681866537544e+25
SN2008ax,54563,0.249,IIb,6.2,54528.0,35.0,1.1452325432489025e+25
SN2008ax,54563,0.875,IIb,6.2,54528.0,35.0,4.024411547561405e+25
SN2008ax,54563,1.706,IIb,6.2,54528.0,35.0,7.846452685874005e+25
SN2008ax,54568,1.023,IIb,6.2,54528.0,40.0,4.705112015034646e+25
SN2008ax,54568,1.978,IIb,6.2,54528.0,40.0,9.097469761230236e+25
SN2008ax,54572,1.04,IIb,6.2,54528.0,44.0,4.783300582244412e+25
SN2008ax,54572,1.694,IIb,6.2,54528.0,44.0,7.791260756078878e+25
SN2008ax,54577,0.927,IIb,6.2,54528.0,49.0,4.263576576673624e+25
SN2008ax,54577,1.814,IIb,6.2,54528.0,49.0,8.343180054030156e+25
SN2008ax,54583,1.382,IIb,6.2,54528.0,55.0,6.356270581405554e+25
SN2008ax,54583,2.68,IIb,6.2,54528.0,55.0,1.2326197654245216e+26
SN2008ax,54587,0.341,IIb,6.2,54528.0,59.0,1.568370671678216e+25
SN2008ax,54587,1.028,IIb,6.2,54528.0,59.0,4.728108652449283e+25
SN2008ax,54587,2.771,IIb,6.2,54528.0,59.0,1.2744736455191599e+26
SN2008ax,54594,0.671,IIb,6.2,54528.0,66.0,3.0861487410442313e+25
SN2008ax,54594,0.812,IIb,6.2,54528.0,66.0,3.734653916136983e+25
SN2008ax,54594,1.936,IIb,6.2,54528.0,66.0,8.90429800694729e+25
SN2008ax,54602,0.453,IIb,6.2,54528.0,74.0,2.0834953497660755e+25
SN2008ax,54602,1.17,IIb,6.2,54528.0,74.0,5.381213155024963e+25
SN2008ax,54607,0.511,IIb,6.2,54528.0,79.0,2.3502563437758597e+25
SN2008ax,54607,1.581,IIb,6.2,54528.0,79.0,7.271536750508091e+25
SN2008ax,54610,0.493,IIb,6.2,54528.0,82.0,2.267468449083168e+25
SN2008ax,54610,0.98,IIb,6.2,54528.0,82.0,4.507340933268772e+25
SN2008bo,54561,0.234,IIb,19.1,54552.0,9.0,1.0213945739254199e+26
SN2008bo,54561,0.477,IIb,19.1,54552.0,9.0,2.082073554540279e+26
SN2008bo,54563,0.225,IIb,19.1,54552.0,11.0,9.821101672359805e+25
SN2008bo,54574,0.507,IIb,19.1,54552.0,22.0,2.2130215768384096e+26
SN2008bo,54581,0.361,IIb,19.1,54552.0,29.0,1.5757412016541732e+26
SN2008bo,54581,0.63,IIb,19.1,54552.0,29.0,2.7499084682607454e+26
SN2008bo,54583,0.186,IIb,19.1,54552.0,31.0,8.118777382484106e+25
SN2008bo,54583,0.224,IIb,19.1,54552.0,31.0,9.777452331593762e+25
SN2008bo,54583,0.436,IIb,19.1,54552.0,31.0,1.9031112573995002e+26
SN2008bo,54587,0.318,IIb,19.1,54552.0,35.0,1.3880490363601859e+26
SN2008bo,54587,0.183,IIb,19.1,54552.0,35.0,7.987829360185974e+25
SN2008bo,54587,0.395,IIb,19.1,54552.0,35.0,1.7241489602587216e+26
SN2008bo,54595,0.138,IIb,19.1,54552.0,43.0,6.023609025714015e+25
SN2008bo,54595,0.365,IIb,19.1,54552.0,43.0,1.5932009379605906e+26
SN2008bo,54601,0.275,IIb,19.1,54552.0,49.0,1.2003568710661987e+26
SN2008bo,54610,0.156,IIb,19.1,54552.0,58.0,6.809297159502798e+25
SN2009dd,54937,0.114,II,13.9,54933.0,4.0,2.6353931108040624e+25
SN2009dd,54952,0.126,II,13.9,54933.0,19.0,2.912802911941332e+25
SN2009dd,54958,0.06,II,13.9,54933.0,25.0,1.3870490056863485e+25
SN2010as,55302,2.19,IIb,27.4,55271.0,31.0,1.9672347844356667e+27
SN2010as,55311,3.1,IIb,27.4,55271.0,40.0,2.784670242808478e+27
SN2010as,55316,1.7,IIb,27.4,55271.0,45.0,1.5270772299272298e+27
SN2010as,55333,1.69,IIb,27.4,55271.0,62.0,1.5180944226923637e+27
SN2010as,55375,2.38,IIb,27.4,55271.0,104.0,2.1379081218981216e+27
SN2010as,55412,2.27,IIb,27.4,55271.0,141.0,2.0390972423145953e+27
SN2010as,55443,2.0,IIb,27.4,55271.0,172.0,1.7965614469732116e+27
SN2010as,55492,1.9,IIb,27.4,55271.0,221.0,1.706733374624551e+27
