Name,Obsmjd,Flux
SN1980O,47192,-0.36
SN1988Z,51934,-0.21
SN1991ae,49401,-0.117
SN1993G,49401,-0.112
SN1993X,49975,-0.135
SN1994Y,49975,-0.267
SN1994ai,49726,-0.0934
SN1994ak,49975,-0.217
SN1995ad,49996,-0.603
SN1996L,50854,-0.176
SN1996N,50196,0.197
SN1996aq,50361,-0.205
SN1996bw,51834,-0.206
SN1997dn,51479,-0.129
SN1997ef,51881,-0.092
SN1997ei,50973,-0.173
SN1988S,51185,-0.133
SN1999B,51480,-0.162
SN1999E,51236,-0.071
SN1999cn,51346,-0.324
SN1999dn,51509,-0.12
SN1999eb,51479,-0.085
SN1999go,54873,-0.148
SN2000ew,52929,-0.107
SN2003dv,54873,-0.1
SN2003lo,54873,-0.183
SN2004bm,53146,-0.456
SN2004gt,53081,-0.2
SN2005V,53476,-0.23
SN2005gl,53819,-0.09
SN2005kl,54873,-0.129
SN2006gy,58287,-0.04
SN2007ak,54189,-0.402
SN2008X,55101,0.089
SN1008in,54831,-0.227
SN2008jb,56061,0.089
SN2009E,55101,-0.147
SN2009hd,55023,-0.18
