Name, mjd, frequency, flux, rms
SN2019pqo, 59138.767696759256, 0.887491, 23.000, 1.045
SN2019pqo, 59216.28819444, 1.36749, 9.940, 0.273
SN2019pqo, 59579.36180556, 1.65549, 6.893, 0.220
SN2019aur, 59203.56041667, 1.36749, 2.059, 0.233
SN2019aur, 59572.84861111, 1.65549, 1.566, 0.181
SN2019njv, 59139.295902777776, 0.887491, 2.717, 0.406
SN2019njv, 59218.49166667, 1.36749, 1.629, 0.184
SN2019njv, 59576.53333333, 1.65549, 2.056, 0.201
SN2019yvs, 59139.2165625, 0.887491, 2.271, 1.020
SN2019yvs, 59211.96944444, 1.36749, 1.033, 0.373
SN2019yvs, 59581.41458333, 1.65549, 0.659, 0.203
SN2020aqe, 59138.72571759259, 0.887491, 28.851, 3.124
SN2020aqe, 59229.14861111, 1.36749, 6.410, 0.342
SN2020aqe, 59586.38680556, 1.65549, 6.534, 0.360
SN2020adhh, 59138.74047453704, 0.887491, nan, --
SN2020adhh, 59207.54722222, 1.36749, 12.469, 0.927
SN2020adhh, 59572.90277778, 1.65549, 9.522, 0.368
SN2020nec, 59139.055289351854, 0.887491, 0.781, 0.326
SN2020nec, 59209.47222222, 1.36749, 0.482, 0.136
SN2020nec, 59581.99444444, 1.65549, 0.386, 0.129
SN2020ywx, 59139.33443287037, 0.887491, 0.838, 0.347
SN2020ywx, 59216.18263889, 1.36749, 0.716, 0.221
SN2020ywx, 59139.33443287037, 0.887491, 0.838, 0.347
SN2021bmf, 59139.04136574074, 0.887491, 0.653, 0.236
SN2021bmf, 59239.23055556, 1.36749, 1.336, 0.178
SN2021bmf, 59582.61180556, 1.65549, 1.704, 0.177
SN2021tcv, 59203.53125, 1.36749, 0.562, 0.233
SN2021tcv, 59573.76041667, 1.65549, 0.588, 0.201
SN2022cb, 59148.29216435185, 0.887491, 1.289, 0.439
SN2022cb, 59212.51736111, 1.36749, 0.753, 0.192
SN2022cb, 59582.00833333, 1.65549, 0.724, 0.204
SN2023axu, 59139.271840277775, 0.887491, 2.422, 0.660
SN2023axu, 59214.6875, 1.36749, 0.574, 0.165
SN2023axu, 59584.18819444, 1.65549, 0.537, 0.163
SN2023rky, 59139.20788194444, 0.887491, 0.802, 0.288
SN2023rky, 59209.47222222, 1.36749, 0.640, 0.196
SN2023rky, 59581.95347222, 1.65549, 0.745, 0.205
SN2024ehs, 59139.316608796296, 0.887491, 1.016, 0.386
SN2024ehs, 59217.07569444, 1.36749, 0.684, 0.185
SN2024ehs, 59574.175, 1.65549, 0.693, 0.205
