Name,A,A_err,beta,beta_err,p
SN2018hon,1.8388573620979674,0.5284399190014456,-1.0486421933909889,0.2073357526507117,3.0972843867819777
SN2019aur,2.7559904399375497,0.8374224724884877,-1.7276751757873616,0.19062885802137228,4.455350351574723
SN2019njv,13.37308968515363,4.348656165197834,-0.6794912882519386,0.18211127997485557,2.358982576503877
SN2019pqo,6.0312990861930045,1.1158186071033855,-0.9215126038065088,0.1353966426830735,2.8430252076130174
SN2019wqq,14.902337941634928,4.680597907399509,-0.8165375835487727,0.17793665760403424,2.6330751670975454
SN2019yvs,1.2953124882058278,0.4334585158639301,-0.49474564533404636,0.21112710460584488,1.9894912906680928
SN2020adhh,3.1264606484352955,1.2831677425024615,-0.5590151489564904,0.23113799545384023,2.1180302979129806
SN2020aqe,22.627874764097665,3.3782069286688112,-2.043081112861863,0.11519761612430665,5.086162225723726
SN2020nec,0.25464905659609,0.22502637342178108,-1.4798579044014872,0.513202525885137,3.9597158088029745
SN2020ywx,3.9429847610926814,1.1585525434054043,-0.8187349578100768,0.16886034258333676,2.6374699156201533
SN2021aefs,38.042304126398086,38.88577836864031,-2.253284693376539,0.5588296555634861,5.506569386753078
SN2021bmf,19.040816472314766,3.4986056649169734,-0.8446458791097986,0.15319337703920638,2.689291758219597
SN2021tcv,3.1470988637407253,1.103603567589592,-0.5614854509492038,0.1900875939349469,2.1229709018984075
SN2022cb,2.28781132897543,0.8053487964765972,-0.773737969825704,0.20414030158632454,2.5474759396514077
SN2023axu,1.5898554628111705,0.6587216204227251,-1.3731312572112369,0.27601650348430157,3.7462625144224737
SN2023rky,1.2020667848702509,0.3847950030822698,-1.0933269088076176,0.20682274189733763,3.1866538176152353
SN2024ehs,0.6805016986931178,0.3626226751916237,-1.621065517542735,0.43839395793125957,4.24213103508547
